Image_name,subject,pose,glasses,beard,mustache
colorferet/dvd2/data/images/00835/00835_940307_pr.ppm,91,pr,No,No,No
colorferet/dvd2/data/images/00835/00835_940307_hr.ppm,91,hr,No,No,No
colorferet/dvd2/data/images/00835/00835_940307_fb.ppm,91,fb,No,No,No
colorferet/dvd2/data/images/00835/00835_940307_pl.ppm,91,pl,No,No,No
colorferet/dvd2/data/images/00835/00835_940307_fa.ppm,91,fa,No,No,No
colorferet/dvd2/data/images/00835/00835_940307_hl.ppm,91,hl,No,No,No
colorferet/dvd2/data/images/00803/00803_941205_ql.ppm,61,ql,No,Yes,No
colorferet/dvd2/data/images/00803/00803_941205_rc.ppm,61,rc,No,Yes,No
colorferet/dvd2/data/images/00803/00803_941205_hl.ppm,61,hl,No,Yes,No
colorferet/dvd2/data/images/00803/00803_941205_fb.ppm,61,fb,No,Yes,No
colorferet/dvd2/data/images/00803/00803_941205_re.ppm,61,re,No,Yes,No
colorferet/dvd2/data/images/00803/00803_941205_pl.ppm,61,pl,No,Yes,No
colorferet/dvd2/data/images/00803/00803_941205_rd.ppm,61,rd,No,Yes,No
colorferet/dvd2/data/images/00803/00803_941205_fa.ppm,61,fa,No,Yes,No
colorferet/dvd2/data/images/00803/00803_941205_qr.ppm,61,qr,No,Yes,No
colorferet/dvd2/data/images/00803/00803_941205_hr.ppm,61,hr,No,Yes,No
colorferet/dvd2/data/images/00803/00803_941205_pr.ppm,61,pr,No,Yes,No
colorferet/dvd2/data/images/00804/00804_941205_pl.ppm,62,pl,No,No,No
colorferet/dvd2/data/images/00804/00804_941205_fa.ppm,62,fa,No,No,No
colorferet/dvd2/data/images/00804/00804_960530_pr.ppm,62,pr,No,No,No
colorferet/dvd2/data/images/00804/00804_941205_fb.ppm,62,fb,No,No,No
colorferet/dvd2/data/images/00804/00804_941205_rb.ppm,62,rb,No,No,No
colorferet/dvd2/data/images/00804/00804_941205_hl.ppm,62,hl,No,No,No
colorferet/dvd2/data/images/00804/00804_960530_hr.ppm,62,hr,No,No,No
colorferet/dvd2/data/images/00804/00804_941205_rc.ppm,62,rc,No,No,No
colorferet/dvd2/data/images/00804/00804_960530_qr.ppm,62,qr,No,No,No
colorferet/dvd2/data/images/00804/00804_941205_ra.ppm,62,ra,No,No,No
colorferet/dvd2/data/images/00804/00804_941205_ql.ppm,62,ql,No,No,No
colorferet/dvd2/data/images/00804/00804_941205_pr.ppm,62,pr,No,No,No
colorferet/dvd2/data/images/00804/00804_960530_fa.ppm,62,fa,No,No,No
colorferet/dvd2/data/images/00804/00804_960530_pl.ppm,62,pl,No,No,No
colorferet/dvd2/data/images/00804/00804_960530_fb.ppm,62,fb,No,No,No
colorferet/dvd2/data/images/00804/00804_960530_rc.ppm,62,rc,No,No,No
colorferet/dvd2/data/images/00804/00804_941205_hr.ppm,62,hr,No,No,No
colorferet/dvd2/data/images/00804/00804_960530_hl.ppm,62,hl,No,No,No
colorferet/dvd2/data/images/00804/00804_960530_rb.ppm,62,rb,No,No,No
colorferet/dvd2/data/images/00804/00804_960530_ql.ppm,62,ql,No,No,No
colorferet/dvd2/data/images/00804/00804_941205_qr.ppm,62,qr,No,No,No
colorferet/dvd2/data/images/00804/00804_960530_ra.ppm,62,ra,No,No,No
colorferet/dvd2/data/images/00850/00850_940307_fb.ppm,106,fb,No,No,No
colorferet/dvd2/data/images/00850/00850_940307_pl.ppm,106,pl,No,No,No
colorferet/dvd2/data/images/00850/00850_940307_fa.ppm,106,fa,No,No,No
colorferet/dvd2/data/images/00850/00850_940307_hl.ppm,106,hl,No,No,No
colorferet/dvd2/data/images/00850/00850_940307_pr.ppm,106,pr,No,No,No
colorferet/dvd2/data/images/00850/00850_940307_hr.ppm,106,hr,No,No,No
colorferet/dvd2/data/images/00868/00868_940307_hr.ppm,124,hr,No,No,No
colorferet/dvd2/data/images/00868/00868_940307_pr.ppm,124,pr,No,No,No
colorferet/dvd2/data/images/00868/00868_940307_hl.ppm,124,hl,No,No,No
colorferet/dvd2/data/images/00868/00868_940307_fb.ppm,124,fb,No,No,No
colorferet/dvd2/data/images/00868/00868_940307_fa.ppm,124,fa,No,No,No
colorferet/dvd2/data/images/00868/00868_940307_pl.ppm,124,pl,No,No,No
colorferet/dvd2/data/images/00857/00857_940307_hl.ppm,113,hl,No,No,No
colorferet/dvd2/data/images/00857/00857_940307_pl.ppm,113,pl,No,No,No
colorferet/dvd2/data/images/00857/00857_940307_fa.ppm,113,fa,No,No,No
colorferet/dvd2/data/images/00857/00857_940307_fb.ppm,113,fb,No,No,No
colorferet/dvd2/data/images/00857/00857_940307_hr.ppm,113,hr,No,No,No
colorferet/dvd2/data/images/00857/00857_940307_pr.ppm,113,pr,No,No,No
colorferet/dvd2/data/images/00861/00861_940307_hr.ppm,117,hr,No,No,No
colorferet/dvd2/data/images/00861/00861_940307_pr.ppm,117,pr,No,No,No
colorferet/dvd2/data/images/00861/00861_940307_hl.ppm,117,hl,No,No,No
colorferet/dvd2/data/images/00861/00861_940307_fb.ppm,117,fb,No,No,No
colorferet/dvd2/data/images/00861/00861_940307_fa.ppm,117,fa,No,No,No
colorferet/dvd2/data/images/00861/00861_940307_pl.ppm,117,pl,No,No,No
colorferet/dvd2/data/images/00895/00895_960530_fb.ppm,150,fb,No,No,No
colorferet/dvd2/data/images/00895/00895_960530_rd.ppm,150,rd,No,No,No
colorferet/dvd2/data/images/00895/00895_960530_pl.ppm,150,pl,No,No,No
